Time,X,Y,Z
1622214985461,-0.4257074,0.4769093,0.32330355
1622214985502,-0.8051197,0.5627639,0.17286743
1622214985545,-0.8143848,0.5627639,0.2913633
1622214985586,-0.8782653,0.57617396,0.20456384
1622214985626,-0.86339235,0.5825132,0.09435782
1622214985668,-0.89777076,0.5595943,0.18359545
1622214985711,-0.7378257,0.52472824,0.23845465
1622214985752,-0.6893058,0.5754425,0.19310437
1622214985794,-0.47569022,0.3203777,0.26868817
1622214985836,-0.33768886,0.5361877,0.67053175
1622214985878,-0.9340998,0.56008196,0.5661774
1622214985921,-0.60323787,0.5417955,0.5730043
1622214985963,-0.5595943,0.44350615,1.300803
1622214986006,-0.2508894,0.41400406,1.2018126
1622214986048,-0.5344809,0.36499652,1.0184611
1622214986090,-0.274296,0.3881593,0.81267804
1622214986134,-0.0980151,0.40351987,0.8529081
1622214986180,-0.20602676,0.39571768,0.8572968
1622214986222,0.053883925,0.34037086,0.86388
1622214986264,-0.025844777,0.40864006,0.83608466
1622214986306,0.06583104,0.40035024,0.8431554
1622214986348,0.1738427,0.40035024,0.90264714
1622214986389,0.14019573,0.3893784,0.8614418
1622214986431,0.10313529,0.35987633,0.98652077
1622214986472,0.0863118,0.37304255,1.0021251
1622214986514,0.1267857,0.3503674,1.0113902
1622214986556,0.121421695,0.3491483,0.97823095
1622214986598,-0.096308365,0.4171737,0.97823095
1622214986640,-0.19554256,0.41619843,1.0823414
1622214986682,-0.41522315,0.45715997,1.4505076
1622214986724,-0.58641434,0.5237529,1.136713
1622214986765,0.44813868,0.82803863,0.051201917
1622214986807,-0.17140453,0.83876663,0.29038802
1622214986848,-0.22772662,0.77171654,0.82560045
1622214986896,-0.66638684,0.8809473,1.034553
1622214986940,-0.039254803,0.8443745,0.5444776
1622214986982,-0.14214627,0.9406828,0.2838049
1622214987024,0.0136538455,0.8831417,0.2994093
1622214987065,0.13434409,0.78902763,0.36255836
1622214987107,4.876373E-4,0.7127124,0.334763
1622214987148,0.38523346,0.51887655,0.33061808
1622214987192,0.28209817,0.3450034,0.09533309
1622214987232,-0.28526783,0.26893198,0.01097184
1622214987276,0.117520586,0.097039826,0.34866068
1622214987318,-0.25722867,0.0068269228,0.79073435
1622214987360,-0.66980034,0.16043268,1.2064452
1622214987405,-0.16189559,-0.0060954667,1.6060945
1622214987446,-0.096064545,-0.0026820053,1.8560085
1622214987488,-0.29502058,-0.30623624,2.274889
1622214987534,0.06705013,-0.5927536,2.1688278
1622214987579,0.03998626,-0.4257074,1.708742
1622214987620,-0.02901442,-0.423513,1.4036944
1622214987662,0.080947794,-0.24064903,0.62591296
1622214987704,-0.05802884,0.061929937,-0.035353705
1622214987746,-0.02194368,0.2128537,0.0129223885
1622214987786,-0.1738427,0.33451918,-0.08704326
1622214987828,-0.48690587,0.4991273,0.7217337
1622214987871,-0.4415556,0.51814514,0.7636705
1622214987912,-0.3372012,0.72075844,0.13044298
1622214987952,-0.56203246,0.76684016,0.365728
1622214987994,-0.59104687,0.8994775,0.74099535
1622214988036,-0.41863662,0.8353532,0.2964835
1622214988079,-0.57983124,0.9180078,0.61250293
1622214988121,-0.38206384,0.8568092,0.6827227
1622214988162,-0.36938527,0.8021939,0.7348999
1622214988203,-0.41546696,0.79780513,0.55008537
1622214988244,-0.33403155,0.7424583,0.5349686
1622214988286,-0.318671,0.7231966,0.5622763
1622214988328,-0.4040075,0.6895496,0.3891346
1622214988378,-0.19407965,0.50449127,0.4752026
1622214988420,-0.40766478,0.38011327,0.50790477
1622214988460,-0.06705013,0.24284339,0.6103086
1622214988501,-0.3620707,0.28356108,0.56568974
1622214988545,-0.42765793,0.31525752,0.8814349
1622214988586,-0.8826541,0.46496215,0.68881816
1622214988628,-0.574711,0.3879155,0.7765929
1622214988671,-0.3398832,0.17554943,0.9840826
1622214988712,-0.20700203,0.15311812,0.73197407
1622214988752,-0.22992098,-0.1070364,0.95750636
1622214988794,-0.17896289,0.0068269228,1.6607099
1622214988836,0.09996565,0.19822457,1.7375127
1622214988877,0.3215968,0.43472868,1.4778154
1622214988918,0.30574858,0.5583752,1.4561155
1622214988959,0.19505493,0.49690244,1.4100337
1622214989000,0.12532279,0.41741753,1.2632549
1622214989042,-0.0692445,0.27502745,1.3071423
1622214989084,-0.33549446,0.28478017,0.9294672
1622214989126,-0.35207415,0.35012358,0.35743815
1622214989167,-0.5125373,0.2623489,0.8694878
1622214989208,-0.43862978,-0.019505491,1.0613731
1622214989250,-0.25186467,-0.055834472,0.53057986
1622214989293,-0.47300816,0.023162773,0.70588547
1622214989334,-0.2679567,-0.09582073,1.0323586
1622214989378,-0.50790477,0.2248008,0.61640406
1622214989419,-0.21992444,0.07875343,0.93263686
1622214989460,-0.26332417,0.12824862,1.2235125
1622214989500,-0.25917923,0.19407965,1.056009
1622214989543,-0.037304256,0.188228,0.92434704
1622214989584,-0.124103695,0.23552881,1.2144911
1622214989627,-0.29063186,0.31257552,1.0382103
1622214989668,-0.20090657,0.31525752,0.81926113
1622214989712,-0.7700098,0.34451577,1.5117366
1622214989754,-0.0365728,0.15775068,1.0745393
1622214989797,-0.33427536,0.25966686,0.6868676
1622214989840,-0.52667874,0.1516552,0.9657962
1622214989883,0.117520586,0.16018885,0.7217337
1622214989924,-0.23967375,0.3423214,0.46837562
1622214989965,-0.007070741,0.42278153,0.34280905
1622214990008,0.23187153,0.2664938,0.4793475
1622214990049,-0.26600617,0.21041548,0.80316913
1622214990093,-0.09045672,0.0012190932,1.5929282
1622214990134,0.022187497,0.22431317,1.8216302
1622214990181,0.023406591,0.24503775,1.3288422
1622214990222,-0.36524037,0.37474927,0.82852626
1622214990265,-0.36133924,0.23211536,1.1508545
1622214990306,-0.15409338,0.19212909,1.1688972
1622214990347,-0.17823143,0.3150137,1.057472
1622214990389,-0.43960506,0.46983853,0.7102742
1622214990432,-0.6551712,0.5054666,0.6732138
1622214990473,-0.663461,0.4322905,0.8941135
1622214990515,-0.45082068,0.31062496,0.798049
1622214990557,-0.47373962,0.45374653,0.93605036
1622214990598,-0.473252,0.37938184,0.6042131
1622214990638,-0.3776751,0.39035368,0.50888
1622214990686,-0.51692605,0.36548418,0.5339933
1622214990729,-0.78537035,0.45569706,0.51229346
1622214990780,-0.7887838,0.46106106,0.58421993
1622214990821,-1.0374789,0.530336,0.4393612
1622214990866,-1.0377227,0.4444814,0.51887655
1622214990908,-1.0699068,0.49226987,0.5096115
1622214990951,-1.1393951,0.54082024,0.38401437
1622214990991,-0.88704276,0.45520943,0.59177834
1622214991032,-0.8314521,0.4822733,0.52058333
1622214991074,-0.6534645,0.49348897,0.6481005
1622214991117,-0.28453636,0.3189148,0.71539444
1622214991158,-0.05339629,0.24186811,0.67296994
1622214991200,-0.11118131,0.2404052,0.94750977
1622214991241,0.0012190932,0.18505836,0.9082549
1622214991282,-0.03340316,0.20651439,0.84925085
1622214991323,-0.05217719,0.10142856,1.0669808
1622214991364,0.23089626,-0.0031696425,1.0813662
1622214991405,0.48958787,-0.022675136,0.7309988
1622214991447,0.56983465,-0.022431316,0.8867989
1622214991488,0.34987977,0.1345879,1.1498792
1622214991532,0.15482484,0.27527127,1.2427742
1622214991579,-0.085092716,0.38620874,1.1372007
1622214991621,-0.2913633,0.39644915,1.2403361
1622214991663,-0.41546696,0.45057687,1.2186362
1622214991704,-0.30891824,0.38596493,1.0803909
1622214991750,-0.3935233,0.44911397,0.8804596
1622214991796,-0.46691272,0.47227672,0.7782996
1622214991837,-0.30794296,0.36036396,0.9048415
1622214991889,-0.23601645,0.2721016,0.9131313
1622214991946,-0.3932795,0.2667376,0.8219432
1622214991986,-0.93336827,0.45179597,0.7795187
1622214992031,-0.90630436,0.39571768,0.69588894
1622214992072,-1.2396045,0.50107783,-0.047788456
